concept_id,concept_name
761937,Influenza A virus subtype H1 2009 pandemic strain
762597,Influenza A virus subtype H3N2 variant
762609,Aeromonas caviae complex
762610,Aeromonas veronii complex
762611,Aeromonas hydrophila complex
763143,Hippurate-negative Campylobacter jejuni/Campylobacter coli
763389,Prevotella oralis group
763395,Nocardia-like organism
763516,"Coagulase-negative Staphylococcus, not Staphylococcus saprophyticus"
763517,Lactobacillus-like gram positive bacillus
763523,Bacillus species not Bacillus anthracis or Bacillus cereus
763524,"Streptococcus species not group A, B or D"
763525,Mycobacterium franklinii
763686,Non-shiga toxin producing Escherichia coli
763860,Multidrug resistant Acinetobacter baumannii
763931,Shiga toxin-producing Escherichia coli serogroup O132
763932,Shiga toxin-producing Escherichia coli serogroup O78
765319,Influenza A virus subtype H1 swine-like
765611,Coccidioides immitis/Coccidioides posadasii
765850,"Beta-hemolytic Streptococcus, non-group B"
765851,"Coagulase-negative Staphylococcus, not Staphylococcus epidermidis"
4000049,Clostridium hastiforme
4000050,Caranx lugubris
4000064,Tadpole edema virus T16
4000066,Lapemis curtus
4000067,Seal
4000070,Human echovirus 18
4000071,Nematodirus lamae
4000079,Bathymaster leurolepis
4000086,Aedes vexans
4000166,Haemophilus agni
4000172,Salmonella Ridge
4000176,Heterodera radicicola
4000644,Phylum Acanthocephala
4000645,Senecio integrifolius
4000753,Kerry Hill sheep
4000762,Halichoeres semicinctus
4001008,Labrisomus gobio
4001013,Buttiauxella agrestis
4001028,Moxostoma lachneri
4001051,Salmonella Hannover
4001218,Hypentelium etowanum
4001243,Henneguya
4001253,Rahnella aquatilis
4001405,Collared aracari
4001440,Streptococcus ferus
4001508,Marasmius rotula
4001680,Notropis chlorocephalus
4001715,Glossina fusca group
4001747,Eimeria arkhari
4001927,Pomeranian dog
4002018,Porcine circovirus type II
4002019,Class Sporozoa
4002020,Gelidium robustum
4002025,Clostridium scatologenes
4002040,Brown-headed nuthatch
4002052,Microsporum
4002084,Moxostoma carinatum
4002090,Common redpoll
4002234,Phialophora bubakii
4002362,Salmonella Niamey
4002371,Vinca
4002443,Cotylurus flabelliformis
4002500,Euphorbia boopthona
4002581,Genus Echium
4002790,Brassica oleracea
4002904,Abadina virus
4003075,Genus Parvovirus
4003110,Quilonia ethiopica
4003242,Bombyx
4003285,Percheron horse
4003336,Collared pika
4003344,Human rhinovirus 102
4003364,Ureaplasma urealyticum
4003400,Engraulis eurystole
4003401,Pleistophora anguillarum
4003402,Scartella cristata
4003407,Liopropoma mowbrayi
4003562,Phoenicopterus ruber roseus
4003590,Salmonella Oakland
4003667,Human adenovirus 3
4003710,Polydactylus opercularis
4003736,Boletus mirabilis
4003751,Hybopsis crameri
4003837,Salmonella Potto
4003845,Bronze-sunbird
4003854,Streptomyces somaliensis
4003885,Greater siren
4003995,Dermacentor halli
4004062,Eimeria numidae
4004096,Salmo clarki
4004233,Clostridium dormicaceticum
4004259,Cannabis sativa
4004286,Entamoeba apis
4004350,Salmonella Zega
4004369,Miniature pinscher dog
4004427,Vibrio aestuarianus
4004494,Circoviridae
4004495,Entamoeba histolytica trophozoite
4004496,Entamoeba histolytica cyst
4004509,Alosa pseudoharengus
4004518,Angiostrongylus michiganensis
4004555,"Leptospira interrogans, serogroup Louisiana"
4004597,Micropolyspora faeni
4004701,Seriola zonata
4004755,Fly
4004773,Salvelinus namaycush
4004842,Cottus tenuis
4004992,Bifidobacterium subtile
4005007,Hemipteronotus martinicensis
4005145,"Mycobacterium, non-TB"
4005146,Circovirus
4005147,Porcine circovirus type I
4005148,Psittacine beak and feather disease virus
4005149,Cercosporella vexans
4005150,Chondrus crispus
4005151,Gigartina stellata
4005394,Salmonella Leoben
4005542,Salmonella Alamo
4005547,Leishmania aethiopica
4005586,White-headed mousebird
4005636,Pedicinus obtusus
4005711,Cooperia punctata
4005727,Giardia cati
4005794,Salmonella enterica
4005796,Porcine circovirus
4005797,Chicken anemia virus
4005798,Pigeon circovirus
4005805,Chromobacterium violaceum
4005837,Human rhinovirus 97
4005988,Amanita pantherina
4006008,Chenopodium ambrosioides
4006026,Lampetra aepyptera
4006052,Singapura cat
4006065,Bembrops gobioides
4006234,Tabanus vittiger schwardti
4006324,Tachygonetria
4006474,Schistosoma mansoni
4006508,Tetractinomyxon
4006659,Inini virus
4006663,Tatumella
4006818,Carrot mottle virus
4006835,Eimeria fanthomi
4006859,Gaigeria pachyscelis
4006894,Salmonella Pensacola
4006972,Campsis
4007156,Syngnathus arctus
4007199,Cytauxzoon felis
4007201,Muscina assimilis
4007304,Fusarium graminearum
4007436,Isospora lacazei
4007492,Pilocarpus jaborandi
4007505,Dermatoxys veligera
4007611,Salmonella Sherbrooke
4007682,Lactobacillus casei
4007868,Peste-des-petits-ruminants virus
4007871,Genus Trichechus
4007917,Varanus salvator
4008079,Pseudostertagia bullosa
4008112,Polygonatum
4008126,Nepeta
4008144,Brassica alba
4008315,Insect iridescent virus 23
4008396,Terrisporobacter glycolicus
4008398,Salmonella Inganda
4008399,"Salmonella VI 6,7:z41:1,7"
4008400,Salmonella Be
4008401,Salmonella Cochin
4008402,Mycoplasma primatum
4008403,Mycoplasma buccale
4008404,Nocardia lutea
4008405,Pseudomonas synxantha
4008406,Thermoactinomyces vulgaris
4008407,Simian enterovirus 17
4008408,Bluetongue virus 21
4008409,Simian hemorrhagic fever virus
4008412,Mucor mucedo
4008413,Cortinarius cinnamomeus
4008414,Gomphus
4008415,Coral fungus
4008416,Lycoperdon mixtecorum
4008417,Hypomyces lactifluorum
4008418,Crithidia luciliae
4008419,Tritrichomonas foetus
4008420,Hartmannella
4008421,Eimeria bareillyi
4008422,Minchinia
4008423,Nematodirus leporis
4008436,Trimeresurus tokarensis
4008491,Dinophysis
4008495,Bushy-tailed giant rat
4008544,Habronema zebrae
4008546,Capillaria plica
4008547,Schistosoma bovis
4008548,Platynosomum
4008549,Metagonimus
4008550,Spirometra
4008551,Spirometra houghtonii
4008649,Enneacanthus gloriosus
4008703,Dekalb hybrid pig line 77
4008708,"Salmonella II, group O:58"
4008869,Bembrops anatirostris
4009137,Chaetomium
4009233,Fasciolopsis
4009271,Nitzschia pungens
4009308,Mycoplasma gallopavonis
4009323,Viking horse
4009565,Salmonella Tabligbo
4009621,Etheostoma etnieri
4009636,Salmonella Suberu
4009646,Phoma hibernica
4009778,Trichophyton yaoundei
4009781,Icelinus cavifrons
4009792,Haemogamasus ambulans
4009874,Salmonella Travis
4009880,Seriola dumerili
4009931,Salmonella Herzliya
4009949,Tabanus calens
4009950,No-tail sheep
4009951,Australian terrier
4009952,Smooth miniature dachshund
4009953,Brachyteles arachnoides
4009955,Blue-footed booby
4009956,Common caracara
4009957,Snipe
4009958,Rufous-tailed jacamar
4009959,White-collared flycatcher
4009960,Troupial
4009961,Euphonia violacea
4009962,Ahlia egmontis
4010027,Enterococcus malodoratus
4010031,Phyllosticta
4010077,Opisthonema oglinum
4010078,Glossanodon pygmaeus
4010079,Atherinomorus stipes
4010080,Pomoxis annularis
4010081,Hemicaranx amblyrhynchus
4010082,Sebastes wilsoni
4010083,Liparis inquilinus
4010084,Melichthys niger
4010085,Lagocephalus lagocephalus
4010086,Bush
4010087,Betula
4010089,Xanthium strumarium
4010090,Boophane disticha
4010118,Pentastoma euryzonum
4010204,Human rhinovirus 81
4010515,Kandleria vitulina
4010585,Actinobacillus suis
4010586,Bacteroides helcogenes
4010587,Borrelia
4010588,Salmonella Altendorf
4010589,Salmonella Sandiego
4010590,Salmonella Virginia
4010591,Salmonella Coquilhatville
4010592,Salmonella Dessau
4010593,"Salmonella II 1,13,22:b:z42"
4010594,Salmonella Irenea
4010595,Salmonella Pomona
4010597,Fusobacterium mortiferum
4010599,Rhodococcus ruber
4010600,Plant virus
4010601,Bluetongue virus 10
4010602,Avian encephalomyelitis virus
4010690,Alocasia
4010716,Acara virus
4010717,Playas virus
4010718,Itaituba virus
4010719,Paramushir virus
4010720,Deer papillomavirus
4010721,Grifola frondosa
4010722,Arthrographis
4010723,Curvularia verruculosa
4010724,Naegleria lavaniensis
4010725,Isospora lieberkuhni
4010726,Eimeria procera
4010727,Eimeria gonzalezi
4010729,Ancistrocoma myae
4010730,Nyctotherus parvus
4010731,Rhabditis pellio
4010732,Gaigeria
4010733,Dictyocaulus filaria
4010734,Epomidiostomum
4010735,Angiostrongylus gubernaculatus
4010736,Ascaridia numidae
4010737,Passalurus ambiguus
4010738,Brugia malayi
4010739,Fasciola hepatica
4010741,Leptinillus
4010742,Anopheles philippinensis
4010743,Anopheles karwari
4010744,Formica
4010745,Dermacentor occidentalis
4010746,Dermacentor nitens
4010747,Pneumonyssus africanus
4010748,Laminosioptes cysticola
4010750,Genus Cyclops
4010751,Pila turbinis
4010752,Berkshire pig
4010753,Greyhound
4010754,Gulo gulo
4010755,Panthera leo
4010757,Fregata magnificens
4010758,Kittiwake
4010760,Blue-backed manakin
4010761,European jay
4010762,Sticky caecilian
4010764,Chondropython viridis
4010872,Black ratsnake
4010873,Lampropeltis mexicana
4010875,Agkistrodon bilineatus
4010876,Lepisosteus platyrhincus
4010877,Hybopsis labrosa
4010878,Notropis jemezanus
4010879,Notropis rubricroceus
4010880,Xyrauchen texanus
4010881,Cololabis saira
4010884,Sebastes rosaceus
4010885,Ascelichthys rhodorus
4010887,Zamia intergrifolia
4010888,Asimina triloba
4010889,Crotalaria acicularis
4010890,Sambucus racemosa
4010891,Hyoscyamus niger
4010892,Ipomoea
4010893,Paspalum conjugatum
4010979,Belgium landrace pig
4011143,Squirrel fibroma virus
4011205,Glutamicibacter uratoxydans
4011206,Brevibacterium linens
